Case,Modality,Feature Class,Feature Name,Value
HGG_Patient1,Flair,original,Elongation,0.3323803674167271
HGG_Patient1,Flair,original,Flatness,0.17979012477577555
HGG_Patient1,Flair,original,LeastAxisLength,15.539236626169968
HGG_Patient1,Flair,original,MajorAxisLength,86.4298672997177
HGG_Patient1,Flair,original,Maximum2DDiameterColumn,44.204072210600685
HGG_Patient1,Flair,original,Maximum2DDiameterRow,66.75327707311455
HGG_Patient1,Flair,original,Maximum2DDiameterSlice,62.64982043070834
HGG_Patient1,Flair,original,Maximum3DDiameter,80.77747210701756
HGG_Patient1,Flair,original,MeshVolume,4015.5416666666665
HGG_Patient1,Flair,original,MinorAxisLength,28.727591048859136
HGG_Patient1,Flair,original,Sphericity,0.23257490052796545
HGG_Patient1,Flair,original,SurfaceArea,5253.120604289723
HGG_Patient1,Flair,original,SurfaceVolumeRatio,1.3081972596365512
HGG_Patient1,Flair,original,VoxelVolume,4514.0
HGG_Patient1,Flair,original,10Percentile,405.0
HGG_Patient1,Flair,original,90Percentile,499.0
HGG_Patient1,Flair,original,Energy,942134973.0
HGG_Patient1,Flair,original,Entropy,2.6650676193335245
HGG_Patient1,Flair,original,InterquartileRange,44.0
HGG_Patient1,Flair,original,Kurtosis,15.788759592565341
HGG_Patient1,Flair,original,Maximum,567.0
HGG_Patient1,Flair,original,MeanAbsoluteDeviation,30.469916072656545
HGG_Patient1,Flair,original,Mean,454.6590607000443
HGG_Patient1,Flair,original,Median,460.0
HGG_Patient1,Flair,original,Minimum,83.0
HGG_Patient1,Flair,original,Range,484.0
HGG_Patient1,Flair,original,RobustMeanAbsoluteDeviation,18.83104959935984
HGG_Patient1,Flair,original,RootMeanSquared,456.85226814008576
HGG_Patient1,Flair,original,Skewness,-2.2876094350944904
HGG_Patient1,Flair,original,TotalEnergy,942134973.0
HGG_Patient1,Flair,original,Uniformity,0.20015394433779493
HGG_Patient1,Flair,original,Variance,1999.1334280942326
HGG_Patient1,Flair,original,Autocorrelation,251.2215980630431
HGG_Patient1,Flair,original,ClusterProminence,668.2870028696206
HGG_Patient1,Flair,original,ClusterShade,-27.15999336575649
HGG_Patient1,Flair,original,ClusterTendency,9.069686763704706
HGG_Patient1,Flair,original,Contrast,1.1213805248535895
HGG_Patient1,Flair,original,Correlation,0.77587531096256
HGG_Patient1,Flair,original,DifferenceAverage,0.7266007134329171
HGG_Patient1,Flair,original,DifferenceEntropy,1.4988877105715273
HGG_Patient1,Flair,original,DifferenceVariance,0.5732340581273714
HGG_Patient1,Flair,original,Id,0.691732740484328
HGG_Patient1,Flair,original,Idm,0.6745413099606191
HGG_Patient1,Flair,original,Idmn,0.9972339904709764
HGG_Patient1,Flair,original,Idn,0.9662241266721185
HGG_Patient1,Flair,original,Imc1,-0.26783469695106954
HGG_Patient1,Flair,original,Imc2,0.8568542809946637
HGG_Patient1,Flair,original,InverseVariance,0.47148509996656823
HGG_Patient1,Flair,original,JointAverage,15.787149882010748
HGG_Patient1,Flair,original,JointEnergy,0.06249691843535335
HGG_Patient1,Flair,original,JointEntropy,4.594014441376087
HGG_Patient1,Flair,original,MCC,0.9124298159964896
HGG_Patient1,Flair,original,MaximumProbability,0.1469483798222285
HGG_Patient1,Flair,original,SumAverage,31.574299764021497
HGG_Patient1,Flair,original,SumEntropy,3.5423542888694968
HGG_Patient1,Flair,original,SumSquares,2.5477668221395735
HGG_Patient1,Flair,original,DependenceEntropy,6.635205182726875
HGG_Patient1,Flair,original,DependenceNonUniformity,289.26849800620295
HGG_Patient1,Flair,original,DependenceNonUniformityNormalized,0.06408252060394394
HGG_Patient1,Flair,original,DependenceVariance,19.587400710122736
HGG_Patient1,Flair,original,GrayLevelNonUniformity,903.4949047408064
HGG_Patient1,Flair,original,GrayLevelVariance,3.2590403036955484
HGG_Patient1,Flair,original,HighGrayLevelEmphasis,249.93132476739035
HGG_Patient1,Flair,original,LargeDependenceEmphasis,84.66947275143997
HGG_Patient1,Flair,original,LargeDependenceHighGrayLevelEmphasis,21188.150199379706
HGG_Patient1,Flair,original,LargeDependenceLowGrayLevelEmphasis,0.3536512020814279
HGG_Patient1,Flair,original,LowGrayLevelEmphasis,0.0052334973772568
HGG_Patient1,Flair,original,SmallDependenceEmphasis,0.08518947011402012
HGG_Patient1,Flair,original,SmallDependenceHighGrayLevelEmphasis,18.833325680174944
HGG_Patient1,Flair,original,SmallDependenceLowGrayLevelEmphasis,0.0008440643453552487
HGG_Patient1,Flair,original,GrayLevelNonUniformity,638.2148384827802
HGG_Patient1,Flair,original,GrayLevelNonUniformityNormalized,0.19407314118806268
HGG_Patient1,Flair,original,GrayLevelVariance,3.744725292180905
HGG_Patient1,Flair,original,HighGrayLevelRunEmphasis,249.19246607287488
HGG_Patient1,Flair,original,LongRunEmphasis,2.551108361994862
HGG_Patient1,Flair,original,LongRunHighGrayLevelEmphasis,639.1378682680538
HGG_Patient1,Flair,original,LongRunLowGrayLevelEmphasis,0.01225449995003297
HGG_Patient1,Flair,original,LowGrayLevelRunEmphasis,0.005600387744899049
HGG_Patient1,Flair,original,RunEntropy,3.8600722512289107
HGG_Patient1,Flair,original,RunLengthNonUniformity,1940.6083540608759
HGG_Patient1,Flair,original,RunLengthNonUniformityNormalized,0.5827189661158938
HGG_Patient1,Flair,original,RunPercentage,0.7281789986708017
HGG_Patient1,Flair,original,RunVariance,0.5948844049859763
HGG_Patient1,Flair,original,ShortRunEmphasis,0.7880675623839953
HGG_Patient1,Flair,original,ShortRunHighGrayLevelEmphasis,195.676759479005
HGG_Patient1,Flair,original,ShortRunLowGrayLevelEmphasis,0.004697911904602405
HGG_Patient1,Flair,original,GrayLevelNonUniformity,50.23114355231144
HGG_Patient1,Flair,original,GrayLevelNonUniformityNormalized,0.12221689428786238
HGG_Patient1,Flair,original,GrayLevelVariance,10.232404496776597
HGG_Patient1,Flair,original,HighGrayLevelZoneEmphasis,218.8978102189781
HGG_Patient1,Flair,original,LargeAreaEmphasis,2463.8540145985403
HGG_Patient1,Flair,original,LargeAreaHighGrayLevelEmphasis,624447.8442822384
HGG_Patient1,Flair,original,LargeAreaLowGrayLevelEmphasis,9.92683985112444
HGG_Patient1,Flair,original,LowGrayLevelZoneEmphasis,0.01087549918475732
HGG_Patient1,Flair,original,SizeZoneNonUniformity,126.17761557177616
HGG_Patient1,Flair,original,SizeZoneNonUniformityNormalized,0.30700149774154784
